Country/Territories,Currency,Currency Code,Currency Units per £1,Start date,End date
Abu Dhabi,Dirham,AED,4.6327,1/3/24,31/03/2024
Albania,Lek,ALL,121.1471,1/3/24,31/03/2024
Algeria,Dinar,DZD,169.7528,1/3/24,31/03/2024
Angola,Readj Kwanza,AOA,1054.5481,1/3/24,31/03/2024
Antigua,E Caribbean Dollar,XCD,3.4088,1/3/24,31/03/2024
Argentina,Peso,ARS,1056.2063,1/3/24,31/03/2024
Armenia,Dram,AMD,509.9746,1/3/24,31/03/2024
Aruba,Florin,AWG,2.258,1/3/24,31/03/2024
Australia,Dollar,AUD,1.9252,1/3/24,31/03/2024
Azerbaijan,New Manat,AZN,2.1464,1/3/24,31/03/2024
Bahamas,Dollar,BSD,1.2614,1/3/24,31/03/2024
Bahrain,Dinar,BHD,0.4743,1/3/24,31/03/2024
Bangladesh,Taka,BDT,138.3268,1/3/24,31/03/2024
Barbados,Dollar,BBD,2.5229,1/3/24,31/03/2024
Belarus,Rouble,BYN,4.1259,1/3/24,31/03/2024
Belize,Dollar,BZD,2.5413,1/3/24,31/03/2024
Benin,CFA Franc,XOF,766.2805,1/3/24,31/03/2024
Bermuda,Dollar (US),BMD,1.2614,1/3/24,31/03/2024
Bhutan,Ngultrum,BTN,104.6369,1/3/24,31/03/2024
Bolivia,Boliviano,BOB,8.7123,1/3/24,31/03/2024
Bosnia- Herzegovinia,Marka,BAM,2.2848,1/3/24,31/03/2024
Botswana,Pula,BWP,17.2573,1/3/24,31/03/2024
Brazil,Real,BRL,6.2167,1/3/24,31/03/2024
Brunei,Dollar,BND,1.6959,1/3/24,31/03/2024
Bulgaria,Lev,BGN,2.2848,1/3/24,31/03/2024
Burkina Faso,CFA Franc,XOF,766.2805,1/3/24,31/03/2024
Burundi,Franc,BIF,3600.6163,1/3/24,31/03/2024
Cambodia,Riel,KHR,5137.2178,1/3/24,31/03/2024
Cameroon Republic,CFA Franc,XAF,766.2805,1/3/24,31/03/2024
Canada,Dollar,CAD,1.7064,1/3/24,31/03/2024
Cape Verde Islands,Escudo,CVE,128.816,1/3/24,31/03/2024
Cayman Islands,Dollar,KYD,1.0369,1/3/24,31/03/2024
Central African Republic,CFA Franc,XAF,766.2805,1/3/24,31/03/2024
Chad,CFA Franc,XAF,766.2805,1/3/24,31/03/2024
Chile,Peso,CLP,1215.9271,1/3/24,31/03/2024
China,Yuan,CNY,9.0701,1/3/24,31/03/2024
Colombia,Peso,COP,4949.0201,1/3/24,31/03/2024
Comoros,Franc,KMF,574.7104,1/3/24,31/03/2024
