"ID","name","versionNumber","contentType","dataFileSizeBytes","createdBy","createdOn","modifiedBy","modifiedOn","parentId","synapseURL","dataFileMD5Hex","dataType"
"syn40403921","1656554151320-recording-1.wav","1","audio/x-wav","30066","3428786","1666070888574","3428786","1666070889286","syn40358494","https://www.synapse.org/#!Synapse:syn40403921.1","2ea6ab3f1171f9924017b2f62c207d68","wav"
"syn40399211","1633317738255-recording-1.wav","1","audio/x-wav","30066","3428786","1666068844810","3428786","1666068845656","syn40358494","https://www.synapse.org/#!Synapse:syn40399211.1","bedad385b5a4e6a221d3239c431120d7","wav"
"syn40400445","1640139054155-recording-1.wav","1","audio/x-wav","30066","3428786","1666069443403","3428786","1666069444025","syn40358494","https://www.synapse.org/#!Synapse:syn40400445.1","8d720c3c615ad698405c8511fe774031","wav"
"syn40401154","1644468176419-recording-1.wav","1","audio/x-wav","30066","3428786","1666069789417","3428786","1666069790001","syn40358494","https://www.synapse.org/#!Synapse:syn40401154.1","2152dca6948b2ba13589ecb58be261f2","wav"
"syn40401512","1646705832154-recording-1.wav","1","audio/x-wav","30066","3428786","1666069966509","3428786","1666069967103","syn40358494","https://www.synapse.org/#!Synapse:syn40401512.1","6b7d11c317233f8a6a1bc8b2beded3ca","wav"
"syn40401851","1648003342293-recording-1.wav","1","audio/x-wav","30066","3428786","1666070110001","3428786","1666070110798","syn40358494","https://www.synapse.org/#!Synapse:syn40401851.1","326b47be649e2165b544e169898b1090","wav"
"syn40401858","1648003359462-recording-1.wav","1","audio/x-wav","30066","3428786","1666070112564","3428786","1666070113111","syn40358494","https://www.synapse.org/#!Synapse:syn40401858.1","bd7a8bfc2536a8d77cad3864c6f9a94b","wav"
"syn40402150","1649294840436-recording-1.wav","1","audio/x-wav","30066","3428786","1666070223150","3428786","1666070224005","syn40358494","https://www.synapse.org/#!Synapse:syn40402150.1","3fb58eb3e146fc32842e24a21522ba5d","wav"
"syn40402633","1651636041830-recording-1.wav","1","audio/x-wav","30066","3428786","1666070405374","3428786","1666070406007","syn40358494","https://www.synapse.org/#!Synapse:syn40402633.1","7c1c89eb76dfb0a58f56f458940651ef","wav"
"syn40402667","1651636999633-recording-1.wav","1","audio/x-wav","30066","3428786","1666070418133","3428786","1666070418963","syn40358494","https://www.synapse.org/#!Synapse:syn40402667.1","be88e203e35c4ad1f463dd4bc5606fc2","wav"
"syn40402683","1651637100371-recording-1.wav","1","audio/x-wav","30066","3428786","1666070424139","3428786","1666070425149","syn40358494","https://www.synapse.org/#!Synapse:syn40402683.1","c381a8f97a5810ba038a6f3d4d8a1b08","wav"
